.com,505260
.org,43129
.in,15740
.cn,10337
.jp,21705
.ru,41883
.de,28422
.co,4771
.uk,16905
.fr,12330
.br,18458
.net,51023
.it,12967
.es,7345
.ca,5337
.mx,4008
.hk,1420
.tr,3843
.id,1973
.pl,13855
.au,8900
.kr,5631
.tw,4783
.sa,589
.cr,172
.nl,8428
.th,1086
.eg,296
.ar,2789
.pk,1213
.tv,3818
.ly,124
.co.za,3754
.ve,626
.gr,5660
.ua,4380
.to,493
.gov,1052
.be,2695
.ro,3618
.sg,1362
.at,2690
.ph,747
.se,3412
.io,1432
.pt,1758
.fm,401
.pe,775
.ch,3026
.ae,793
.cz,4810
.ng,428
.cl,1647
.cc,1597
.no,2468
.dz,215
.bd,352
.ie,1290
.hu,2801
.biz,3435
.il,1474
.nz,1336
.eu,4519
.fi,1721
.vn,3879
.dk,2382
.sk,1884
.is,299
.my,1531
.me,3278
.gl,18
.bg,993
.ag,101
.edu,3246
.st,82
.kw,111
.lk,407
.gov.uk,490
.rs,793
.kz,1341
.by,1373
.info,10554
.hr,795
.pw,435
.ec,327
.ir,9568
.us,2578
.do,246
.lt,1142
.si,582
.la,204
.iq,51
.gt,147
.sx,43
.lv,726
.eu.com,19
.ma,451
.pr,37
.az,482
.guru,83
.sh,65
.sc,43
.am,330
.bo,102
.nhs.uk,99
.vc,100
.gg,72
.af,64
.jo,101
.mn,234
.ee,514
.xyz,451
.gd,18
.link,165
.cu,113
.vg,16
.mobi,701
.ba,209
.club,380
.sv,88
.int,85
.su,864
.com.uy,158
.li,107
.gh,54
.ws,617
.edu.cn,588
.qa,169
.bh,60
.np,96
.gs,53
.kh,45
.ke,232
,3308
.tz,88
.lu,233
.so,115
.uz,366
.py,117
.mm,35
.ni,59
.ms,52
.mk,255
.de.com,7
.ac.uk,454
.hn,53
.xxx,489
.mu,74
.om,96
.ac,52
.wiki,23
.lb,43
.tn,78
.pro,472
.mil,50
.cy,119
.tt,43
.cat,358
.camera,3
.ci,32
.mg,36
.cd,24
.nu,347
.website,134
.al,135
.name,282
.cm,68
.report,17
.sn,49
.us.com,45
.im,202
.tl,39
.ge,363
.asia,475
.ht,17
.ac.za,50
.travel,224
.ninja,114
.bz,183
.jobs,119
.va,9
.today,113
.bn,32
.rocks,67
.kg,108
.gy,13
.pa,120
.tf,24
.rw,51
.tk,476
.jm,9
.mt,49
.zm,18
.taipei,16
.mz,25
.mv,16
.re,69
.gi,13
.ps,68
.gov.za,79
.jpn.com,32
.country,10
.dj,15
.ug,78
.coop,116
.ad,35
.onl,8
.za,17
.host,20
.aero,94
.tm,22
.wtf,10
.pm,28
.na,29
.tools,11
.gratis,11
.kim,152
.eus,34
.social,25
.sy,58
.xn--p1ai,539
.bw,16
.bs,8
.cg,3
.science,111
.marketing,20
.md,185
.sexy,44
.ai,25
.bj,5
.company,19
.tc,31
.ye,9
.moe,21
.parliament.uk,6
.photos,15
.buzz,21
.red,37
.life,31
.digital,27
.zw,29
.tj,56
.gallery,16
.bt,32
.hm,3
.tokyo,60
.recipes,3
.audio,7
.party,7
.yt,18
.vu,46
.rip,1
.trade,5
.ne,3
.nr,12
.ml,146
.google,11
.in.ua,205
.edu.ru,33
.careers,4
.guide,12
.cf,97
.city,16
.br.com,16
.wang,44
.bf,8
.xn--q9jyb4c,3
.desi,7
.cx,41
.media,53
.ao,17
.click,68
.gifts,3
.post,5
.pn,10
.business,9
.moscow,17
.gp,6
.zone,24
.bnpparibas,1
.ga,125
.gq,56
.help,15
.community,13
.tg,1
.uy,95
.exchange,7
.work,55
.menu,4
.cv,11
.webcam,9
.sr,9
.academy,20
.uk.com,79
.pics,32
.cool,9
.krd,3
.agency,24
.je,12
.org.za,141
.scot,8
.solutions,21
.notaires.fr,6
.university,5
.supply,2
.pg,4
.codes,12
.mod.uk,6
.paris,15
.ls,3
.technology,14
.education,16
.ooo,7
.press,17
.photo,7
.vet,2
.ar.com,5
.za.com,10
.as,32
.vacations,1
.prod,4
.gal,14
.mo,53
.support,9
.fj,13
.top,29
.gm,7
.police.uk,31
.land,15
.space,50
.pink,18
.com.de,22
.deals,10
.co.pl,14
.mr,9
.horse,3
.blue,10
.sl,6
.bi,10
.fitness,4
.email,12
.domains,10
.za.net,4
.dev,192
.watch,4
.sz,7
.boo,1
.cn.com,5
.services,8
.bm,13
.photography,11
.sd,42
.et,2
.bike,16
.global,20
.wf,13
.wales,3
.tips,33
.cricket,1
.coffee,6
.directory,20
.yokohama,6
.cab,7
.museum,14
.kp,2
.bb,4
.capital,1
.aeroport.fr,13
.youtube,1
.properties,3
.auction,1
.fo,21
.sa.com,5
.pf,20
.nc,22
.nyc,17
.cash,8
.network,13
.care,4
.new,6
.uk.net,7
.market,7
.ax,3
.place,3
.expert,16
.nf,14
.capetown,3
.systems,12
.lc,19
.london,8
.farm,9
.money,7
.vi,2
.cards,4
.mw,3
.partners,5
.futbol,6
.jetzt,2
.clinic,1
.pub,12
.center,26
.ovh,29
.pictures,6
.vegas,2
.singles,2
.sm,11
.events,11
.camp,1
.gift,7
.international,6
.dating,2
.property,3
.dm,2
.xn--80adxhks,6
.gent,1
.reise,3
.training,8
.medecin.fr,2
.vote,1
.finance,2
.adult,1
.surf,4
.church,2
.nagoya,6
.xn--3e0b707e,3
.pharmacien.fr,1
.monash,1
.holiday,3
.mp,3
.reviews,11
.porn,1
.brussels,2
.melbourne,3
.casa,5
.how,2
.za.org,1
.xn--mgbab2bd,1
.ru.com,8
.black,10
.graphics,4
.vision,3
.xn--wgbl6a,1
.voyage,3
.works,9
.shoes,3
.kiwi,4
.ink,8
.moda,7
.bar,2
.exposed,2
.hosting,3
.computer,1
.kitchen,4
.mc,9
.cleaning,3
.house,4
.pizza,1
.us.org,12
.eu.org,10
.hamburg,3
.bzh,9
.hu.com,2
.xn--pgbs0dh,1
.equipment,2
.soy,1
.amsterdam,5
.xn--c1avg,2
.xn--80asehdb,9
.rehab,1
.dance,3
.world,9
.ky,8
.luxury,1
.tp,1
.boutique,3
.wien,4
.realtor,2
.healthcare,4
.berlin,12
.ceo,1
.consulting,2
.trust,1
.solar,2
.cw,3
.lr,1
.fish,2
.foundation,3
.gmail,1
.xn--j1amh,2
.hiphop,1
.direct,2
.uol,1
.clothing,8
.aw,1
.productions,1
.cymru,1
.builders,2
.toys,4
.investments,1
.tienda,2
.discount,2
.experts-comptables.fr,1
.bargains,2
.fund,2
.cruises,1
.sucks,1
.build,1
.best,4
.globo,1
.immobilien,2
.shiksha,3
.town,2
.quebec,2
.claims,1
.parts,3
.gu,1
.gb.com,3
.priv.at,1
.rentals,2
.surgery,2
.ventures,4
.creditcard,1
.tel,3
.aq,1
.estate,4
.chambagri.fr,3
.gf,1
.xn--6frz82g,1
.nrw,2
.bio,3
.se.net,1
.se.com,2
.frl,1
.college,1
.mq,4
.glass,2
.limited,3
.okinawa,1
.wedding,1
.ren,2
.kn,2
.ki,1
.software,4
.immo,2
.mh,1
.cheap,1
.alsace,2
.institute,1
.guitars,1
.yoga,1
.ck,1
.sb,1
.repair,2
.beer,1
.fashion,1
.saarland,1
.ngo,1
.here,1
.fishing,1
.attorney,1
.management,2
.docs,1
.xn--mgbaam7a8h,1
.reisen,1
.veterinaire.fr,1
.career,1
.xn--80aswg,3
.fail,1
.qc.com,1
.limo,1
.actor,1
.juegos,1
.lighting,1
.diet,1
.xn--80ao21a,1
.fly,1
